,FC_ad_adnc,LOG10 FC,t_ad_adnc,p_ad_adnc,,,,,,,,,,,,,,,
CDC42EP2,1.368201517,0.136150068,0.987133887,0.343063328,,,,,,,,,,,,,,,
MLC1,1.737747908,0.239986774,1.169318765,0.264977932,,,,,,,,,,,,,,,
DIMT1,1.016159324,0.006961806,0.49303927,0.630883428,,,,,,,,,,,,,,,
TM9SF3,0.948137107,-0.023128856,-0.819694316,0.428371281,,,,,,,,,,,,,,,
SYNJ2,0.962048243,-0.016803149,-0.033558695,0.973780802,,,,,,,,,,,,,,,
TRADD,1.043249235,0.018388075,0.581984419,0.571349292,,,,,,,,,,,,,,,
CLIP1,0.969368337,-0.01351117,-0.354467388,0.729139655,,,,,,,,,,,,,,,
MRPS23,1.150485681,0.060881218,0.481376126,0.638907996,,,,,,,,,,,,,,,
DDX5,0.909849774,-0.041030308,-1.033983436,0.321532767,,,,,,,,,,,,,,,
MRPL14,0.935843231,-0.028796897,-0.590694543,0.565684448,,,,,,,,,,,,,,,
PRORP,0.906576535,-0.042595526,-0.512419876,0.617657448,,,,,,,,,,,,,,,
CDH2,2.009962155,0.30318788,1.376201302,0.193897903,,,,,,,,,,,,,,,
ASPH,0.915176059,-0.038495349,-0.801829379,0.438242167,,,,,,,,,,,,,,,
FCHSD2,0.954988413,-0.020001898,-0.186099355,0.855475688,,,,,,,,,,,,,,,
ABCA5,0.98221303,-0.007794309,-0.022952275,0.98206559,,,,,,,,,,,,,,,
VPS9D1,1.266295348,0.102535012,1.143994898,0.274933305,,,,,,,,,,,,,,,
USP40,0.997235695,-0.001202185,-0.04939315,0.961418589,,,,,,,,,,,,,,,
TMED4,0.949582139,-0.022467463,-1.029732151,0.323444592,,,,,,,,,,,,,,,
PLP1,9.938226187,0.997308877,1.134580698,0.27870693,,,,,,,,,,,,,,,
ANKRD20A8P,0.995350803,-0.002023829,-0.32884667,0.747939574,,,,,,,,,,,,,,,
PRKCI,0.86760495,-0.061677979,-1.025019588,0.325573613,,,,,,,,,,,,,,,
ASAP1,1.000491864,0.000213561,0.278787209,0.78515429,,,,,,,,,,,,,,,
DAAM2,1.68285713,0.226047247,1.168435927,0.265320223,,,,,,,,,,,,,,,
KCNAB2,1.4685853,0.166899177,1.034003154,0.32152392,,,,,,,,,,,,,,,
PIH1D1,0.924852721,-0.033927421,-1.234843631,0.2405218,,,,,,,,,,,,,,,
TANGO6,1.15239376,0.061600898,0.762984669,0.460209294,,,,,,,,,,,,,,,
SHMT2,1.036905076,0.015739001,-0.035525564,0.97224478,,,,,,,,,,,,,,,
SLC30A5,0.884949833,-0.053081348,-1.371569251,0.195298411,,,,,,,,,,,,,,,
BID,0.922959513,-0.034817349,-1.243611696,0.237389497,,,,,,,,,,,,,,,
INPPL1,1.023815769,0.010221814,0.872463792,0.400076229,,,,,,,,,,,,,,,
IPO9,0.935848219,-0.028794582,-1.25242162,0.234275078,,,,,,,,,,,,,,,
RMDN3,1.128701406,0.052579066,1.024347741,0.325877974,,,,,,,,,,,,,,,
TRIOBP,0.899012484,-0.046234278,-1.309894874,0.214753444,,,,,,,,,,,,,,,
MTHFSD,0.931378578,-0.030873755,-0.091587436,0.928536986,,,,,,,,,,,,,,,
CANX,0.96381636,-0.016005706,-0.745237178,0.470473662,,,,,,,,,,,,,,,
EPS15L1,0.963419963,-0.016184359,-1.282116406,0.224017833,,,,,,,,,,,,,,,
CINP,0.967493609,-0.014351895,-0.374840517,0.714319769,,,,,,,,,,,,,,,
FOLH1,1.580304032,0.198740648,1.040863208,0.318456567,,,,,,,,,,,,,,,
ACYP2,1.931554874,0.285907051,1.494688146,0.160820857,,,,,,,,,,,,,,,
POC5,0.901912247,-0.044835716,-1.29491821,0.219708923,,,,,,,,,,,,,,,
ATL3,1.008537343,0.003691983,-0.23768178,0.816137603,,,,,,,,,,,,,,,
GMFG,0.873241618,-0.058865574,-0.869670579,0.401541541,,,,,,,,,,,,,,,
SLC22A2,0.915598967,-0.038294706,-0.000326766,0.999744648,,,,,,,,,,,,,,,
CD44,2.115699152,0.325453912,1.295297372,0.219582332,,,,,,,,,,,,,,,
CELSR2,1.803176796,0.25603831,1.240016866,0.238669761,,,,,,,,,,,,,,,
RAB1B,0.994125265,-0.002558889,-0.64055531,0.533852784,,,,,,,,,,,,,,,
CAMKK2,1.135200499,0.055072573,0.810923192,0.433199227,,,,,,,,,,,,,,,
HSPB8,1.217070379,0.085315693,1.078586175,0.301975893,,,,,,,,,,,,,,,
PPP1R10,0.942760732,-0.025598515,-0.929302824,0.371049066,,,,,,,,,,,,,,,
PRKCH,0.909748236,-0.041078778,-0.765015278,0.459043951,,,,,,,,,,,,,,,
PLEKHA6,0.908344218,-0.041749544,-0.517314744,0.614338793,,,,,,,,,,,,,,,
TRIM27,0.799841214,-0.096996222,-1.988031983,0.070110637,,,,,,,,,,,,,,,
TOR3A,0.93775153,-0.027912219,-0.630896753,0.539938436,,,,,,,,,,,,,,,
IGHV1-3,0.825380897,-0.083345587,-0.25783423,0.800903397,,,,,,,,,,,,,,,
EIF5A2,1.037414447,0.015952292,0.152863398,0.881046291,,,,,,,,,,,,,,,
TRMT10C,0.951841847,-0.021435206,-0.626706391,0.542590845,,,,,,,,,,,,,,,
MYEF2,1.049263677,0.020884639,-0.075144289,0.941338105,,,,,,,,,,,,,,,
TIMM10B,1.135399829,0.055148824,0.101521355,0.920813221,,,,,,,,,,,,,,,
CUTC,1.022030449,0.009463835,0.506171317,0.621906718,,,,,,,,,,,,,,,
MRPL39,0.904744321,-0.043474134,-0.788683985,0.445598952,,,,,,,,,,,,,,,
SVIP,2.608858823,0.416450578,1.060319977,0.309874667,,,,,,,,,,,,,,,
APBA1,1.09776344,0.040508763,1.176122569,0.262351504,,,,,,,,,,,,,,,
PTGES3,1.067184452,0.028239489,0.983098664,0.344965456,,,,,,,,,,,,,,,
XRCC1,0.941406773,-0.026222682,-1.001998136,0.336121929,,,,,,,,,,,,,,,
PCNX2,0.860815918,-0.065089711,-1.846809326,0.089569534,,,,,,,,,,,,,,,
PSTPIP2,0.940588134,-0.026600504,-0.29257431,0.774844773,,,,,,,,,,,,,,,
YIPF3,1.035331261,0.015079327,-0.417537372,0.683658901,,,,,,,,,,,,,,,
ARL1,1.033642112,0.014370195,-0.472103301,0.645322267,,,,,,,,,,,,,,,
CENPF,1.15685544,0.063279093,0.795087838,0.442005166,,,,,,,,,,,,,,,
CD82,1.278745776,0.106784212,1.334985456,0.206655585,,,,,,,,,,,,,,,
CCL18,0.780515978,-0.107618202,-0.546000241,0.595070996,,,,,,,,,,,,,,,
BAP18,0.917850105,-0.037228238,-0.879904013,0.39619084,,,,,,,,,,,,,,,
PTRHD1,1.007063199,0.003056726,-0.201863062,0.84340538,,,,,,,,,,,,,,,
CASK,1.115771457,0.047575247,1.100479558,0.292709088,,,,,,,,,,,,,,,
PFDN5,1.052262318,0.022124018,0.628364724,0.541540279,,,,,,,,,,,,,,,
EIF6,0.941623563,-0.026122682,-1.355532724,0.20021182,,,,,,,,,,,,,,,
OLFM1,1.031549746,0.013490177,-0.165002691,0.871688846,,,,,,,,,,,,,,,
PSMB7,0.991893391,-0.003535003,0.101710972,0.920665871,,,,,,,,,,,,,,,
HSPG2,0.984677042,-0.006706188,0.003468032,0.997289904,,,,,,,,,,,,,,,
GMPR2,1.094237598,0.039111633,0.958502899,0.35672347,,,,,,,,,,,,,,,
PFN2,1.257869616,0.099635627,1.028034623,0.324210311,,,,,,,,,,,,,,,
TLN2,0.9793864,-0.009045931,0.104689063,0.918352016,,,,,,,,,,,,,,,
CAMK2G,1.515904444,0.180671826,1.208720868,0.250048758,,,,,,,,,,,,,,,
NCOA1,1.14304419,0.05806302,1.188563947,0.257601385,,,,,,,,,,,,,,,
EYA3,0.925680159,-0.033539045,-1.420844406,0.180822563,,,,,,,,,,,,,,,
ATP6V1B2,1.216214571,0.085010202,0.869054605,0.401865169,,,,,,,,,,,,,,,
ZNF622,0.830415561,-0.080704521,-1.630142967,0.129021121,,,,,,,,,,,,,,,
SNAPIN,0.959631833,-0.017895354,-0.079445492,0.937987778,,,,,,,,,,,,,,,
TUBB6,1.099405403,0.041157867,1.04105459,0.318371305,,,,,,,,,,,,,,,
DENR,0.958390195,-0.018457638,-0.253864512,0.803897764,,,,,,,,,,,,,,,
OXR1,1.469957786,0.167304863,1.079081218,0.301763946,,,,,,,,,,,,,,,
ANO10,0.966208602,-0.014929101,-0.008018094,0.993734313,,,,,,,,,,,,,,,
EEF1B2,0.903073771,-0.044276771,-1.365763564,0.197065575,,,,,,,,,,,,,,,
RPS5,0.914291262,-0.038915431,-0.983388245,0.344828701,,,,,,,,,,,,,,,
YY1,0.970823334,-0.012859794,-0.412709526,0.687097688,,,,,,,,,,,,,,,
KYAT1,1.265631577,0.102307302,1.093090662,0.295812232,,,,,,,,,,,,,,,
LAMA2,1.022610983,0.009710453,0.350243137,0.732227075,,,,,,,,,,,,,,,
PALS2,0.895892229,-0.04774423,0.01016795,0.992054377,,,,,,,,,,,,,,,
TIPRL,1.055404929,0.023419118,0.772685028,0.454659241,,,,,,,,,,,,,,,
RETREG1,1.0539763,0.022830845,0.94336098,0.364102413,,,,,,,,,,,,,,,
ABHD11,0.963071377,-0.016341525,-0.67845671,0.510354442,,,,,,,,,,,,,,,
KMT2C,0.97869343,-0.009353327,-0.56050921,0.585445258,,,,,,,,,,,,,,,
CCDC158,0.892026806,-0.049622094,-0.074516283,0.941827376,,,,,,,,,,,,,,,
TRIP11,1.028874744,0.012362507,-0.558416708,0.586828447,,,,,,,,,,,,,,,
CASP1,0.913208075,-0.039430257,-0.607173305,0.555050997,,,,,,,,,,,,,,,
WRAP53,0.966655421,-0.014728309,-1.363849891,0.197650956,,,,,,,,,,,,,,,
CFL1,1.138390181,0.056291141,1.221125323,0.245488329,,,,,,,,,,,,,,,
ADAP1,1.564464455,0.1943657,1.116423459,0.286097237,,,,,,,,,,,,,,,
FAM118B,1.094839388,0.039350413,0.413919243,0.686235338,,,,,,,,,,,,,,,
RNF17,0.950416566,-0.022086003,-0.687398375,0.504900835,,,,,,,,,,,,,,,
ITGB1BP1,0.948088571,-0.023151089,-0.937444761,0.367014585,,,,,,,,,,,,,,,
MPV17L,0.890514394,-0.050359057,-0.972177338,0.350151594,,,,,,,,,,,,,,,
RUFY3,2.065209975,0.314964214,1.115626894,0.286424845,,,,,,,,,,,,,,,
EIF5A,0.95396737,-0.02046648,-0.983348216,0.344847602,,,,,,,,,,,,,,,
OTUD4,0.95650213,-0.019314059,-1.124641507,0.282734016,,,,,,,,,,,,,,,
TMED1,0.930795699,-0.031145632,-1.051399539,0.313787649,,,,,,,,,,,,,,,
POGLUT1,1.068745067,0.028874123,0.001679605,0.998687469,,,,,,,,,,,,,,,
GGA2,0.968883577,-0.013728405,-0.752289098,0.466378134,,,,,,,,,,,,,,,
ELAPOR2,0.807483844,-0.092866158,-1.283940597,0.223399699,,,,,,,,,,,,,,,
RTN1,1.42586787,0.154079283,1.52307642,0.153648659,,,,,,,,,,,,,,,
PEBP1,1.230444961,0.090062192,1.081210162,0.300853736,,,,,,,,,,,,,,,
PLP2,1.029804787,0.012754906,-0.324635791,0.751046076,,,,,,,,,,,,,,,
EVA1C,1.010989011,0.004746435,0.088913319,0.930617486,,,,,,,,,,,,,,,
RFTN1,1.089575928,0.0372575,0.963763341,0.354185003,,,,,,,,,,,,,,,
H1-5,1.01599696,0.006892408,0.206507894,0.83985658,,,,,,,,,,,,,,,
AGAP3,1.269444275,0.103613641,1.32119416,0.211075204,,,,,,,,,,,,,,,
ACAP2,0.905821302,-0.04295747,-1.34058831,0.204881846,,,,,,,,,,,,,,,
COX15,0.916105126,-0.038054687,-1.044418666,0.31687534,,,,,,,,,,,,,,,
EMG1,0.884264043,-0.053418034,-1.361414328,0.198398055,,,,,,,,,,,,,,,
OLFML2A,0.877797255,-0.056605782,-0.030109916,0.976474378,,,,,,,,,,,,,,,
SPG11,1.009303257,0.004021675,-0.035854964,0.971987547,,,,,,,,,,,,,,,
TECPR1,1.068364471,0.028719437,0.863624057,0.40472597,,,,,,,,,,,,,,,
CABLES2,1.016541506,0.007125116,-0.167096541,0.870076829,,,,,,,,,,,,,,,
GOT1,1.408627248,0.148796085,1.023517655,0.326254307,,,,,,,,,,,,,,,
MVD,1.165243131,0.066416552,1.017192502,0.329132396,,,,,,,,,,,,,,,
DDX39B,0.94677355,-0.023753884,-0.821280105,0.427502189,,,,,,,,,,,,,,,
OMG,3.363132495,0.526743977,1.142788667,0.275414606,,,,,,,,,,,,,,,
NFIX,1.035627351,0.015203512,0.17432167,0.864519064,,,,,,,,,,,,,,,
CYTH1,1.20345778,0.080430859,1.063677216,0.308411457,,,,,,,,,,,,,,,
SF3A1,0.898254881,-0.046600414,-1.355080867,0.200351726,,,,,,,,,,,,,,,
LRRC45,0.95282766,-0.020985644,-0.670133999,0.515461662,,,,,,,,,,,,,,,
SPTBN1,1.146150916,0.059241806,0.920658581,0.375366342,,,,,,,,,,,,,,,
CXCL14,1.021177203,0.009101111,-0.26861961,0.792784757,,,,,,,,,,,,,,,
PKD1,1.217947846,0.085628692,1.058618271,0.310618307,,,,,,,,,,,,,,,
SORT1,1.118735493,0.048727417,0.879715504,0.396288964,,,,,,,,,,,,,,,
SRP14,1.011241475,0.004854874,0.141759368,0.889622209,,,,,,,,,,,,,,,
MAP7D2,1.449230769,0.161137546,1.057975532,0.310899528,,,,,,,,,,,,,,,
DNM1L,1.111251333,0.045812295,1.022414727,0.326754832,,,,,,,,,,,,,,,
RABGAP1,0.973021144,-0.011877722,-0.627096756,0.542343443,,,,,,,,,,,,,,,
FAN1,0.896207945,-0.04759121,0.069617439,0.945644834,,,,,,,,,,,,,,,
EPB41L1,1.252293627,0.09770617,0.929845979,0.370778959,,,,,,,,,,,,,,,
LSM12,0.991983632,-0.003495494,-1.134681354,0.278666373,,,,,,,,,,,,,,,
TUBA4A,1.935485607,0.286789946,1.153659435,0.271100412,,,,,,,,,,,,,,,
ATP11A,1.024953031,0.010703964,-0.476529768,0.642256596,,,,,,,,,,,,,,,
PREX2,1.598107775,0.203606064,1.09877406,0.293423155,,,,,,,,,,,,,,,
EHMT2,1.03634692,0.015505161,-0.03466863,0.972913987,,,,,,,,,,,,,,,
RAP1GAP,1.469103557,0.16705241,1.010111201,0.332376532,,,,,,,,,,,,,,,
ADISSP,1.010005766,0.004323853,0.229153155,0.822608917,,,,,,,,,,,,,,,
COA3,1.086779415,0.036141404,0.049505373,0.961331008,,,,,,,,,,,,,,,
CDC42SE2,1.527502634,0.183981968,1.266808302,0.229259538,,,,,,,,,,,,,,,
MTFR1L,1.064541745,0.027162696,0.120217839,0.906299937,,,,,,,,,,,,,,,
VTI1A,0.952924557,-0.020941481,-0.84856876,0.412728764,,,,,,,,,,,,,,,
ARHGEF10,0.908717609,-0.041571056,-2.147606852,0.052868645,,,,,,,,,,,,,,,
NDUFAF6,0.984962149,-0.006580458,-0.663848128,0.519338762,,,,,,,,,,,,,,,
AGL,0.86274986,-0.064115103,-0.628295228,0.541584282,,,,,,,,,,,,,,,
SIPA1,0.893762798,-0.048777726,-0.804687308,0.43665322,,,,,,,,,,,,,,,
AKT2,0.954692957,-0.020136281,-0.726142577,0.481675155,,,,,,,,,,,,,,,
CSTF2T,1.032995291,0.014098342,-0.358486797,0.726206547,,,,,,,,,,,,,,,
TNFAIP8L3,1.094248412,0.039115925,0.886948225,0.392536029,,,,,,,,,,,,,,,
DYNC1H1,1.1527209,0.061724167,1.084662582,0.299382076,,,,,,,,,,,,,,,
GEMIN7,1.050736498,0.021493818,-0.320519453,0.754087244,,,,,,,,,,,,,,,
AGTRAP,0.912032992,-0.039989451,-0.937457757,0.36700817,,,,,,,,,,,,,,,
ZNF346,0.990201977,-0.004276211,0.006591374,0.994849194,,,,,,,,,,,,,,,
IGKV1-27,0.765840179,-0.115861852,-0.913102137,0.379168921,,,,,,,,,,,,,,,
GLTP,2.354596342,0.371916465,1.116139178,0.286214122,,,,,,,,,,,,,,,
PLEKHB1,1.936619034,0.287044196,1.173545201,0.263344033,,,,,,,,,,,,,,,
ACSL1,1.021033374,0.009039938,-0.155615245,0.87892336,,,,,,,,,,,,,,,
TYW1,0.956066983,-0.01951168,-0.887706714,0.392143875,,,,,,,,,,,,,,,
ACSS2,0.98743195,-0.005492825,-0.508299987,0.620457527,,,,,,,,,,,,,,,
THEM5,1.140298972,0.057018733,0.175820124,0.863367349,,,,,,,,,,,,,,,
TUBB4B,1.462076353,0.164970053,1.175496549,0.262592312,,,,,,,,,,,,,,,
SV2A,1.502358362,0.176773539,0.320219383,0.754309106,,,,,,,,,,,,,,,
ACTR1A,1.133860951,0.054559799,0.978403256,0.347188325,,,,,,,,,,,,,,,
BAK1,0.922326986,-0.035115085,-1.152830087,0.271427698,,,,,,,,,,,,,,,
NUF2,1.261268307,0.100807483,1.185742205,0.258672785,,,,,,,,,,,,,,,
ANGPTL2,0.919029533,-0.036670532,-1.06504603,0.307816359,,,,,,,,,,,,,,,
SPRTN,0.871716698,-0.059624635,-0.586385911,0.568482865,,,,,,,,,,,,,,,
SMPD3,1.849437035,0.26703955,1.011857273,0.331574451,,,,,,,,,,,,,,,
PGK1,1.064308209,0.027067412,0.470774723,0.646243744,,,,,,,,,,,,,,,
OTUD7B,1.179407789,0.071663992,0.948347479,0.361660577,,,,,,,,,,,,,,,
DFFA,1.036728668,0.015665108,0.569013646,0.579841296,,,,,,,,,,,,,,,
ATP11B,0.953306503,-0.020767444,-0.854306396,0.409666448,,,,,,,,,,,,,,,
RNASE1,0.873041374,-0.058965174,-0.619650947,0.547073308,,,,,,,,,,,,,,,
PLPP1,0.966463588,-0.014814503,-0.667405512,0.517142496,,,,,,,,,,,,,,,
WDR12,0.943677468,-0.025176414,-1.517643093,0.154999783,,,,,,,,,,,,,,,
EMC9,1.048413585,0.02053264,0.455537694,0.656855385,,,,,,,,,,,,,,,
MPZL1,0.999486525,-0.000223057,-0.12817668,0.900132212,,,,,,,,,,,,,,,
RABEP2,0.934931633,-0.029220146,-1.064126851,0.308215882,,,,,,,,,,,,,,,
PSMB5,1.001478576,0.000641663,0.125847337,0.901936657,,,,,,,,,,,,,,,
WTAP,0.934735641,-0.029311198,-1.616239357,0.132011382,,,,,,,,,,,,,,,
TYRO3,1.850751905,0.267348205,1.068515989,0.306311623,,,,,,,,,,,,,,,
MAPT,2.006610525,0.302463086,1.153709557,0.271080642,,,,,,,,,,,,,,,
HINT2,1.090915418,0.03779108,0.188194529,0.853869133,,,,,,,,,,,,,,,
ATF1,2.553874697,0.407199585,1.068442621,0.306343382,,,,,,,,,,,,,,,
EIF2D,0.985707496,-0.006251941,-1.316850864,0.212482948,,,,,,,,,,,,,,,
CD38,2.378855648,0.376368089,1.169118837,0.265055417,,,,,,,,,,,,,,,
ARHGEF40,1.014400292,0.006209365,0.451575497,0.659627785,,,,,,,,,,,,,,,
UGP2,1.071002736,0.02979058,0.878018516,0.397173034,,,,,,,,,,,,,,,
CDCP1,0.981300049,-0.008198179,-0.555793433,0.588564901,,,,,,,,,,,,,,,
PRAF2,1.122011928,0.049997474,0.807023376,0.435357201,,,,,,,,,,,,,,,
CHGA,0.890681346,-0.050277643,-0.811619108,0.432814876,,,,,,,,,,,,,,,
SPP1,0.990997749,-0.003927332,-0.236466665,0.817058751,,,,,,,,,,,,,,,
RTN3,1.388747645,0.142623336,1.148890817,0.272986424,,,,,,,,,,,,,,,
ADH5,1.059899117,0.02526453,0.588212973,0.567295293,,,,,,,,,,,,,,,
PHGDH,1.662238218,0.220693263,1.235842464,0.240163326,,,,,,,,,,,,,,,
CDIP1,1.153464367,0.062004183,0.890031417,0.390943629,,,,,,,,,,,,,,,
APPL1,0.998105685,-0.000823471,0.401298195,0.695254772,,,,,,,,,,,,,,,
ELOC,1.055176509,0.023325114,1.213218281,0.248387645,,,,,,,,,,,,,,,
VAT1,1.053245923,0.022529787,0.618538184,0.547782154,,,,,,,,,,,,,,,
TBC1D2B,0.867701878,-0.061629462,-1.262619602,0.23071085,,,,,,,,,,,,,,,
SLC16A3,1.036723199,0.015662817,0.266610059,0.794295546,,,,,,,,,,,,,,,
ZZEF1,0.967383569,-0.014401294,-0.929604418,0.370899069,,,,,,,,,,,,,,,
NEMP1,1.072586895,0.030432487,0.141405524,0.889895738,,,,,,,,,,,,,,,
RIPOR1,0.926865327,-0.032983364,-1.077596463,0.302399963,,,,,,,,,,,,,,,
STX10,0.966094771,-0.014980268,-0.516275314,0.615042771,,,,,,,,,,,,,,,
TOP1,0.990988301,-0.003931472,-0.306116477,0.764761852,,,,,,,,,,,,,,,
ATF2,0.988621423,-0.004969983,-0.373460993,0.715319518,,,,,,,,,,,,,,,
MSH6,0.997226769,-0.001206072,-0.397410137,0.698043235,,,,,,,,,,,,,,,
RAP1A,1.184347194,0.073479035,1.478156852,0.165127521,,,,,,,,,,,,,,,
CD33,1.055121349,0.023302411,0.323574509,0.75182974,,,,,,,,,,,,,,,
IGKV2-24,1.157233343,0.063420939,0.471374591,0.645827611,,,,,,,,,,,,,,,
API5,0.960914732,-0.017315148,-0.679528709,0.509698789,,,,,,,,,,,,,,,
TSPYL6,0.892414576,-0.049433345,-0.008502402,0.993355863,,,,,,,,,,,,,,,
SUGP1,0.948601873,-0.022916022,-1.198020211,0.254036217,,,,,,,,,,,,,,,
SARNP,0.994266452,-0.002497214,-0.20875303,0.838142536,,,,,,,,,,,,,,,
TSPO,1.023020381,0.009884286,0.085868278,0.932987219,,,,,,,,,,,,,,,
TCP11L2,1.14910432,0.060359457,0.314243203,0.758732449,,,,,,,,,,,,,,,
P3H2,0.992189803,-0.003405241,-0.035058799,0.972609289,,,,,,,,,,,,,,,
TUBB4A,3.539710178,0.548967705,1.146989735,0.27374113,,,,,,,,,,,,,,,
BST1,0.941650001,-0.026110489,-0.01331612,0.989594417,,,,,,,,,,,,,,,
MANF,1.030561533,0.013073928,-0.2624433,0.797430908,,,,,,,,,,,,,,,
IGHV3-64D,0.946178787,-0.024026793,-0.077737701,0.939317879,,,,,,,,,,,,,,,
CPNE2,1.018584871,0.007997222,0.31704341,0.756658719,,,,,,,,,,,,,,,
GLO1,1.090497893,0.037624831,0.522979963,0.610508958,,,,,,,,,,,,,,,
GCAT,0.77158371,-0.11261695,-0.490550846,0.632591462,,,,,,,,,,,,,,,
PLCB3,0.968757254,-0.013785033,-0.229766958,0.822142716,,,,,,,,,,,,,,,
TBC1D15,1.038034949,0.016211976,0.735804747,0.475986636,,,,,,,,,,,,,,,
DBF4B,1.107477246,0.044334812,-0.023918149,0.981311031,,,,,,,,,,,,,,,
NID2,1.013682015,0.005901741,-0.129342386,0.899229406,,,,,,,,,,,,,,,
TMEM135,0.908417402,-0.041714555,-1.320032705,0.211450906,,,,,,,,,,,,,,,
STK38,0.98260501,-0.007621026,-0.211392237,0.836128748,,,,,,,,,,,,,,,
DNALI1,1.077559491,0.032441256,0.137052298,0.893262071,,,,,,,,,,,,,,,
GNAI1,1.589141734,0.201162633,1.115843087,0.286335902,,,,,,,,,,,,,,,
ATP6AP1,1.025010279,0.01072822,-0.760092407,0.461872352,,,,,,,,,,,,,,,
RBM41,2.443820225,0.388069255,1.216572825,0.247154331,,,,,,,,,,,,,,,
SDCCAG8,1.043384615,0.018444429,-0.028093599,0.978049312,,,,,,,,,,,,,,,
HECTD1,0.925880442,-0.03344509,-0.815284888,0.430793961,,,,,,,,,,,,,,,
HADHB,1.102091956,0.042217832,-0.000220888,0.999827386,,,,,,,,,,,,,,,
IDI1,1.047210956,0.020034177,-0.063318333,0.950555514,,,,,,,,,,,,,,,
BCAN,2.655387338,0.42412788,1.149814248,0.272620414,,,,,,,,,,,,,,,
KRT73,2.989586115,0.475611068,1.195662314,0.254921538,,,,,,,,,,,,,,,
SSRP1,1.011318781,0.004888073,-0.149081889,0.883965135,,,,,,,,,,,,,,,
CACNG6,0.847209473,-0.072009197,-1.395112827,0.188266073,,,,,,,,,,,,,,,
MICAL1,0.986194623,-0.00603737,0.258503562,0.800398842,,,,,,,,,,,,,,,
PLSCR4,1.371773889,0.137282532,1.003459334,0.335445112,,,,,,,,,,,,,,,
RPIA,0.892697767,-0.049295551,-1.834749363,0.091440913,,,,,,,,,,,,,,,
ATP1A1,1.197698412,0.078347474,1.052654123,0.313235113,,,,,,,,,,,,,,,
LHPP,1.281448072,0.107701012,1.208012677,0.250311123,,,,,,,,,,,,,,,
NCOA5,1.009627896,0.004161342,-0.476687313,0.64214761,,,,,,,,,,,,,,,
F11R,1.051370011,0.021755585,0.307748245,0.763549898,,,,,,,,,,,,,,,
GALK2,0.947840787,-0.023264607,-1.181603906,0.260250373,,,,,,,,,,,,,,,
DMAC2,1.064940458,0.027325327,0.061965,0.951610835,,,,,,,,,,,,,,,
MGAT2,0.973410658,-0.011703903,-0.78814418,0.445902742,,,,,,,,,,,,,,,
TUBB8,1.933177829,0.286271806,0.976295351,0.348189575,,,,,,,,,,,,,,,
ILKAP,1.011844399,0.005113732,-0.050454478,0.96059033,,,,,,,,,,,,,,,
DSG1,1.050724638,0.021488916,0.092587759,0.927758863,,,,,,,,,,,,,,,
NUP205,0.970618066,-0.012951629,-0.973927908,0.349316573,,,,,,,,,,,,,,,
MAP3K2,1.068362283,0.028718547,0.504664596,0.62293349,,,,,,,,,,,,,,,
RPGR,0.986036127,-0.006107173,-0.530960236,0.605134463,,,,,,,,,,,,,,,
CXCL12,0.803562059,-0.094980577,-0.560627737,0.58536696,,,,,,,,,,,,,,,
BAG4,1.100078493,0.041423674,0.254566624,0.803367922,,,,,,,,,,,,,,,
HSPA13,1.056101726,0.023705752,-0.115812806,0.909716401,,,,,,,,,,,,,,,
DSP,0.835032097,-0.078296831,-0.183885604,0.857173901,,,,,,,,,,,,,,,
CTNND2,1.589655727,0.201303079,1.228014422,0.242984159,,,,,,,,,,,,,,,
ACSBG1,1.145590994,0.059029591,0.679836942,0.509510361,,,,,,,,,,,,,,,
PSME3,0.871480983,-0.059742085,-1.230118981,0.24222321,,,,,,,,,,,,,,,
NMUR2,1.002495389,0.001082384,-0.04924902,0.961531071,,,,,,,,,,,,,,,
LOXL1,0.771859641,-0.112461667,-1.36174474,0.198296566,,,,,,,,,,,,,,,
CPEB4,0.980377162,-0.008606814,-0.884341291,0.393885911,,,,,,,,,,,,,,,
SLC5A3,1.24415343,0.094873941,-0.05712443,0.955386251,,,,,,,,,,,,,,,
CNTN2,1.892558114,0.277049224,1.121300022,0.284097849,,,,,,,,,,,,,,,
DDR2,0.980932598,-0.008360833,-0.580266868,0.572469933,,,,,,,,,,,,,,,
VTA1,1.075921284,0.031780499,0.913305098,0.379066438,,,,,,,,,,,,,,,
RPP25,0.98065764,-0.008482584,0.205511626,0.840617454,,,,,,,,,,,,,,,
MROH7,1.010626011,0.004590472,-0.194485924,0.849049106,,,,,,,,,,,,,,,
ARCN1,0.959837948,-0.017802084,-0.680357221,0.509192398,,,,,,,,,,,,,,,
RNFT2,1.044637053,0.018965426,0.497740584,0.627662561,,,,,,,,,,,,,,,
KIF24,1.133470696,0.054410297,0.018801812,0.985308213,,,,,,,,,,,,,,,
RUVBL2,0.981903574,-0.007931159,-1.07793388,0.302255337,,,,,,,,,,,,,,,
UBE2G2,0.985766527,-0.006225933,-0.615430083,0.549764771,,,,,,,,,,,,,,,
MRPL44,0.910494946,-0.04072246,-0.7515667,0.46679665,,,,,,,,,,,,,,,
DNAL1,1.04466278,0.018976122,0.444321445,0.66471722,,,,,,,,,,,,,,,
CETN3,0.963692308,-0.016061608,-0.566606705,0.581424456,,,,,,,,,,,,,,,
PLEKHG3,1.01174205,0.0050698,-0.262217865,0.797600646,,,,,,,,,,,,,,,
