gene,GO Focus function
BTNL2,Inflammation/Immune/Stress/Toxic/Detox
BTNL3,Inflammation/Immune/Stress/Toxic/Detox
BTNL8,Inflammation/Immune/Stress/Toxic/Detox
BTNL9,Inflammation/Immune/Stress/Toxic/Detox
C1D,Inflammation/Immune/Stress/Toxic/Detox
C1GALT1,Inflammation/Immune/Stress/Toxic/Detox
C1GALT1C1,Inflammation/Immune/Stress/Toxic/Detox
C1GALT1C1L,Inflammation/Immune/Stress/Toxic/Detox
C1QA,Inflammation/Immune/Stress/Toxic/Detox
C1QB,Inflammation/Immune/Stress/Toxic/Detox
C1QBP,Inflammation/Immune/Stress/Toxic/Detox
C1QC,Inflammation/Immune/Stress/Toxic/Detox
C1QL1,Inflammation/Immune/Stress/Toxic/Detox
C1QL3,Inflammation/Immune/Stress/Toxic/Detox
C1QL4,Inflammation/Immune/Stress/Toxic/Detox
C1R,Inflammation/Immune/Stress/Toxic/Detox
C1RL,Inflammation/Immune/Stress/Toxic/Detox
C1S,Inflammation/Immune/Stress/Toxic/Detox
C2,Inflammation/Immune/Stress/Toxic/Detox
C3,Inflammation/Immune/Stress/Toxic/Detox
C3AR1,Inflammation/Immune/Stress/Toxic/Detox
C3P1,Inflammation/Immune/Stress/Toxic/Detox
C4A,Inflammation/Immune/Stress/Toxic/Detox
C4B,Inflammation/Immune/Stress/Toxic/Detox
C4BPA,Inflammation/Immune/Stress/Toxic/Detox
C4BPB,Inflammation/Immune/Stress/Toxic/Detox
C5,Inflammation/Immune/Stress/Toxic/Detox
C5AR1,Inflammation/Immune/Stress/Toxic/Detox
C5AR2,Inflammation/Immune/Stress/Toxic/Detox
C6,Inflammation/Immune/Stress/Toxic/Detox
C7,Inflammation/Immune/Stress/Toxic/Detox
C8A,Inflammation/Immune/Stress/Toxic/Detox
C8B,Inflammation/Immune/Stress/Toxic/Detox
C8G,Inflammation/Immune/Stress/Toxic/Detox
C9,Inflammation/Immune/Stress/Toxic/Detox
CA1,Inflammation/Immune/Stress/Toxic/Detox
CA10,Inflammation/Immune/Stress/Toxic/Detox
CA11,Inflammation/Immune/Stress/Toxic/Detox
CA12,Inflammation/Immune/Stress/Toxic/Detox
CA13,Inflammation/Immune/Stress/Toxic/Detox
CA14,Inflammation/Immune/Stress/Toxic/Detox
CA2,Inflammation/Immune/Stress/Toxic/Detox
CA3,Inflammation/Immune/Stress/Toxic/Detox
CA4,Inflammation/Immune/Stress/Toxic/Detox
CA5A,Inflammation/Immune/Stress/Toxic/Detox
CA5B,Inflammation/Immune/Stress/Toxic/Detox
CA6,Inflammation/Immune/Stress/Toxic/Detox
CA7,Inflammation/Immune/Stress/Toxic/Detox
CA8,Inflammation/Immune/Stress/Toxic/Detox
CA9,Inflammation/Immune/Stress/Toxic/Detox
CAMP,Inflammation/Immune/Stress/Toxic/Detox
CARD10,Inflammation/Immune/Stress/Toxic/Detox
CARD11,Inflammation/Immune/Stress/Toxic/Detox
CARD14,Inflammation/Immune/Stress/Toxic/Detox
CARD16,Inflammation/Immune/Stress/Toxic/Detox
CARD17,Inflammation/Immune/Stress/Toxic/Detox
CARD18,Inflammation/Immune/Stress/Toxic/Detox
CARD19,Inflammation/Immune/Stress/Toxic/Detox
CARD6,Inflammation/Immune/Stress/Toxic/Detox
CARD8,Inflammation/Immune/Stress/Toxic/Detox
CARD9,Inflammation/Immune/Stress/Toxic/Detox
CCL1,Inflammation/Immune/Stress/Toxic/Detox
CCL11,Inflammation/Immune/Stress/Toxic/Detox
CCL13,Inflammation/Immune/Stress/Toxic/Detox
CCL15,Inflammation/Immune/Stress/Toxic/Detox
CCL16,Inflammation/Immune/Stress/Toxic/Detox
CCL17,Inflammation/Immune/Stress/Toxic/Detox
CCL18,Inflammation/Immune/Stress/Toxic/Detox
CCL2,Inflammation/Immune/Stress/Toxic/Detox
CCL22,Inflammation/Immune/Stress/Toxic/Detox
CCL23,Inflammation/Immune/Stress/Toxic/Detox
CCL24,Inflammation/Immune/Stress/Toxic/Detox
CCL26,Inflammation/Immune/Stress/Toxic/Detox
CCL28,Inflammation/Immune/Stress/Toxic/Detox
CCL3,Inflammation/Immune/Stress/Toxic/Detox
CCL3L1,Inflammation/Immune/Stress/Toxic/Detox
CCL3L3,Inflammation/Immune/Stress/Toxic/Detox
CCL4,Inflammation/Immune/Stress/Toxic/Detox
CCL5,Inflammation/Immune/Stress/Toxic/Detox
CCL7,Inflammation/Immune/Stress/Toxic/Detox
CCL8,Inflammation/Immune/Stress/Toxic/Detox
CCR1,Inflammation/Immune/Stress/Toxic/Detox
CCR10,Inflammation/Immune/Stress/Toxic/Detox
CCR2,Inflammation/Immune/Stress/Toxic/Detox
CCR3,Inflammation/Immune/Stress/Toxic/Detox
CCR4,Inflammation/Immune/Stress/Toxic/Detox
CCR5,Inflammation/Immune/Stress/Toxic/Detox
CCR6,Inflammation/Immune/Stress/Toxic/Detox
CCR7,Inflammation/Immune/Stress/Toxic/Detox
CCR8,Inflammation/Immune/Stress/Toxic/Detox
CCR9,Inflammation/Immune/Stress/Toxic/Detox
CCRL2,Inflammation/Immune/Stress/Toxic/Detox
CD101,Inflammation/Immune/Stress/Toxic/Detox
CD109,Inflammation/Immune/Stress/Toxic/Detox
CD14,Inflammation/Immune/Stress/Toxic/Detox
CD151,Inflammation/Immune/Stress/Toxic/Detox
CD160,Inflammation/Immune/Stress/Toxic/Detox
CD164,Inflammation/Immune/Stress/Toxic/Detox
CD177,Inflammation/Immune/Stress/Toxic/Detox
CD180,Inflammation/Immune/Stress/Toxic/Detox
CD19,Inflammation/Immune/Stress/Toxic/Detox
CD1A,Inflammation/Immune/Stress/Toxic/Detox
CD1B,Inflammation/Immune/Stress/Toxic/Detox
CD1C,Inflammation/Immune/Stress/Toxic/Detox
CD1D,Inflammation/Immune/Stress/Toxic/Detox
CD1E,Inflammation/Immune/Stress/Toxic/Detox
CD2,Inflammation/Immune/Stress/Toxic/Detox
CD200,Inflammation/Immune/Stress/Toxic/Detox
CD200R1,Inflammation/Immune/Stress/Toxic/Detox
CD200R1L,Inflammation/Immune/Stress/Toxic/Detox
CD207,Inflammation/Immune/Stress/Toxic/Detox
CD209,Inflammation/Immune/Stress/Toxic/Detox
CD22,Inflammation/Immune/Stress/Toxic/Detox
CD226,Inflammation/Immune/Stress/Toxic/Detox
CD24,Inflammation/Immune/Stress/Toxic/Detox
CD244,Inflammation/Immune/Stress/Toxic/Detox
CD247,Inflammation/Immune/Stress/Toxic/Detox
CD248,Inflammation/Immune/Stress/Toxic/Detox
CD27,Inflammation/Immune/Stress/Toxic/Detox
CD274,Inflammation/Immune/Stress/Toxic/Detox
CD276,Inflammation/Immune/Stress/Toxic/Detox
CD28,Inflammation/Immune/Stress/Toxic/Detox
CD2AP,Inflammation/Immune/Stress/Toxic/Detox
CD2BP2,Inflammation/Immune/Stress/Toxic/Detox
CD300A,Inflammation/Immune/Stress/Toxic/Detox
CD300C,Inflammation/Immune/Stress/Toxic/Detox
CD300H,Inflammation/Immune/Stress/Toxic/Detox
CD300LF,Inflammation/Immune/Stress/Toxic/Detox
CD302,Inflammation/Immune/Stress/Toxic/Detox
CD320,Inflammation/Immune/Stress/Toxic/Detox
CD33,Inflammation/Immune/Stress/Toxic/Detox
CD34,Inflammation/Immune/Stress/Toxic/Detox
CD36,Inflammation/Immune/Stress/Toxic/Detox
CD37,Inflammation/Immune/Stress/Toxic/Detox
CD38,Inflammation/Immune/Stress/Toxic/Detox
CD3D,Inflammation/Immune/Stress/Toxic/Detox
CD3E,Inflammation/Immune/Stress/Toxic/Detox
CD3G,Inflammation/Immune/Stress/Toxic/Detox
CD4,Inflammation/Immune/Stress/Toxic/Detox
CD40,Inflammation/Immune/Stress/Toxic/Detox
CD40LG,Inflammation/Immune/Stress/Toxic/Detox
CD48,Inflammation/Immune/Stress/Toxic/Detox
CD5,Inflammation/Immune/Stress/Toxic/Detox
CD52,Inflammation/Immune/Stress/Toxic/Detox
CD53,Inflammation/Immune/Stress/Toxic/Detox
CD55,Inflammation/Immune/Stress/Toxic/Detox
CD58,Inflammation/Immune/Stress/Toxic/Detox
CD5L,Inflammation/Immune/Stress/Toxic/Detox
CD6,Inflammation/Immune/Stress/Toxic/Detox
CD68,Inflammation/Immune/Stress/Toxic/Detox
CD69,Inflammation/Immune/Stress/Toxic/Detox
CD7,Inflammation/Immune/Stress/Toxic/Detox
CD70,Inflammation/Immune/Stress/Toxic/Detox
CD72,Inflammation/Immune/Stress/Toxic/Detox
CD74,Inflammation/Immune/Stress/Toxic/Detox
CD79A,Inflammation/Immune/Stress/Toxic/Detox
CD79B,Inflammation/Immune/Stress/Toxic/Detox
CD80,Inflammation/Immune/Stress/Toxic/Detox
CD81,Inflammation/Immune/Stress/Toxic/Detox
CD81-AS1,Inflammation/Immune/Stress/Toxic/Detox
CD82,Inflammation/Immune/Stress/Toxic/Detox
CD83,Inflammation/Immune/Stress/Toxic/Detox
CD84,Inflammation/Immune/Stress/Toxic/Detox
CD86,Inflammation/Immune/Stress/Toxic/Detox
CD8A,Inflammation/Immune/Stress/Toxic/Detox
CD8B,Inflammation/Immune/Stress/Toxic/Detox
CD8B2,Inflammation/Immune/Stress/Toxic/Detox
CD9,Inflammation/Immune/Stress/Toxic/Detox
CFB,Inflammation/Immune/Stress/Toxic/Detox
CGAS,Inflammation/Immune/Stress/Toxic/Detox
CH25H,Inflammation/Immune/Stress/Toxic/Detox
CLNK,Inflammation/Immune/Stress/Toxic/Detox
COLEC10,Inflammation/Immune/Stress/Toxic/Detox
COLEC11,Inflammation/Immune/Stress/Toxic/Detox
COLEC12,Inflammation/Immune/Stress/Toxic/Detox
CR1,Inflammation/Immune/Stress/Toxic/Detox
CR1L,Inflammation/Immune/Stress/Toxic/Detox
CR2,Inflammation/Immune/Stress/Toxic/Detox
CSF1,Inflammation/Immune/Stress/Toxic/Detox
CSF1R,Inflammation/Immune/Stress/Toxic/Detox
CSF2,Inflammation/Immune/Stress/Toxic/Detox
CXCL1,Inflammation/Immune/Stress/Toxic/Detox
CXCL10,Inflammation/Immune/Stress/Toxic/Detox
CXCL11,Inflammation/Immune/Stress/Toxic/Detox
CXCL12,Inflammation/Immune/Stress/Toxic/Detox
CXCL14,Inflammation/Immune/Stress/Toxic/Detox
CXCL16,Inflammation/Immune/Stress/Toxic/Detox
CXCL17,Inflammation/Immune/Stress/Toxic/Detox
CXCL2,Inflammation/Immune/Stress/Toxic/Detox
CXCL3,Inflammation/Immune/Stress/Toxic/Detox
CXCL5,Inflammation/Immune/Stress/Toxic/Detox
CXCL6,Inflammation/Immune/Stress/Toxic/Detox
CXCL8,Inflammation/Immune/Stress/Toxic/Detox
CXCL9,Inflammation/Immune/Stress/Toxic/Detox
CXCR1,Inflammation/Immune/Stress/Toxic/Detox
CXCR2,Inflammation/Immune/Stress/Toxic/Detox
CXCR3,Inflammation/Immune/Stress/Toxic/Detox
CXCR4,Inflammation/Immune/Stress/Toxic/Detox
CXCR5,Inflammation/Immune/Stress/Toxic/Detox
CXCR6,Inflammation/Immune/Stress/Toxic/Detox
CYSLTR1,Inflammation/Immune/Stress/Toxic/Detox
CYSLTR2,Inflammation/Immune/Stress/Toxic/Detox
EBI3,Inflammation/Immune/Stress/Toxic/Detox
FAM120A,Inflammation/Immune/Stress/Toxic/Detox
FAM120C,Inflammation/Immune/Stress/Toxic/Detox
FCAMR,Inflammation/Immune/Stress/Toxic/Detox
FCAR,Inflammation/Immune/Stress/Toxic/Detox
FCER1A,Inflammation/Immune/Stress/Toxic/Detox
FCER1G,Inflammation/Immune/Stress/Toxic/Detox
FCER2,Inflammation/Immune/Stress/Toxic/Detox
FCF1,Inflammation/Immune/Stress/Toxic/Detox
FCGBP,Inflammation/Immune/Stress/Toxic/Detox
FCGR1A,Inflammation/Immune/Stress/Toxic/Detox
FCGR1BP,Inflammation/Immune/Stress/Toxic/Detox
FCGR2A,Inflammation/Immune/Stress/Toxic/Detox
FCGR2B,Inflammation/Immune/Stress/Toxic/Detox
FCGR2C,Inflammation/Immune/Stress/Toxic/Detox
FCGR3A,Inflammation/Immune/Stress/Toxic/Detox
FCGR3B,Inflammation/Immune/Stress/Toxic/Detox
FCGRT,Inflammation/Immune/Stress/Toxic/Detox
FCMR,Inflammation/Immune/Stress/Toxic/Detox
FCN1,Inflammation/Immune/Stress/Toxic/Detox
FCN2,Inflammation/Immune/Stress/Toxic/Detox
FCN3,Inflammation/Immune/Stress/Toxic/Detox
FCRL1,Inflammation/Immune/Stress/Toxic/Detox
FCRL2,Inflammation/Immune/Stress/Toxic/Detox
FCRL3,Inflammation/Immune/Stress/Toxic/Detox
FCRL4,Inflammation/Immune/Stress/Toxic/Detox
FCRL5,Inflammation/Immune/Stress/Toxic/Detox
FCRL6,Inflammation/Immune/Stress/Toxic/Detox
FCRLA,Inflammation/Immune/Stress/Toxic/Detox
FCRLB,Inflammation/Immune/Stress/Toxic/Detox
FPR1,Inflammation/Immune/Stress/Toxic/Detox
FPR2,Inflammation/Immune/Stress/Toxic/Detox
FPR3,Inflammation/Immune/Stress/Toxic/Detox
FSTL1,Inflammation/Immune/Stress/Toxic/Detox
FSTL3,Inflammation/Immune/Stress/Toxic/Detox
FSTL4,Inflammation/Immune/Stress/Toxic/Detox
FSTL5,Inflammation/Immune/Stress/Toxic/Detox
FYB1,Inflammation/Immune/Stress/Toxic/Detox
FYB2,Inflammation/Immune/Stress/Toxic/Detox
GBP1,Inflammation/Immune/Stress/Toxic/Detox
GBP2,Inflammation/Immune/Stress/Toxic/Detox
GBP3,Inflammation/Immune/Stress/Toxic/Detox
GBP4,Inflammation/Immune/Stress/Toxic/Detox
GBP5,Inflammation/Immune/Stress/Toxic/Detox
GBP6,Inflammation/Immune/Stress/Toxic/Detox
GBP7,Inflammation/Immune/Stress/Toxic/Detox
GPX1,Inflammation/Immune/Stress/Toxic/Detox
GPX2,Inflammation/Immune/Stress/Toxic/Detox
GPX3,Inflammation/Immune/Stress/Toxic/Detox
GPX4,Inflammation/Immune/Stress/Toxic/Detox
GPX5,Inflammation/Immune/Stress/Toxic/Detox
GPX6,Inflammation/Immune/Stress/Toxic/Detox
GPX7,Inflammation/Immune/Stress/Toxic/Detox
GPX8,Inflammation/Immune/Stress/Toxic/Detox
GRN,Inflammation/Immune/Stress/Toxic/Detox
GSDMA,Inflammation/Immune/Stress/Toxic/Detox
GSDMB,Inflammation/Immune/Stress/Toxic/Detox
GSDMC,Inflammation/Immune/Stress/Toxic/Detox
GSDMD,Inflammation/Immune/Stress/Toxic/Detox
GSDME,Inflammation/Immune/Stress/Toxic/Detox
GZMA,Inflammation/Immune/Stress/Toxic/Detox
GZMB,Inflammation/Immune/Stress/Toxic/Detox
GZMH,Inflammation/Immune/Stress/Toxic/Detox
GZMK,Inflammation/Immune/Stress/Toxic/Detox
GZMM,Inflammation/Immune/Stress/Toxic/Detox
HCLS1,Inflammation/Immune/Stress/Toxic/Detox
HLA-A,Inflammation/Immune/Stress/Toxic/Detox
HLA-B,Inflammation/Immune/Stress/Toxic/Detox
HLA-C,Inflammation/Immune/Stress/Toxic/Detox
HLA-DMA,Inflammation/Immune/Stress/Toxic/Detox
HLA-DMB,Inflammation/Immune/Stress/Toxic/Detox
HLA-DOA,Inflammation/Immune/Stress/Toxic/Detox
HLA-DOB,Inflammation/Immune/Stress/Toxic/Detox
HLA-DPA1,Inflammation/Immune/Stress/Toxic/Detox
HLA-DPB1,Inflammation/Immune/Stress/Toxic/Detox
HLA-DQA1,Inflammation/Immune/Stress/Toxic/Detox
HLA-DQA2,Inflammation/Immune/Stress/Toxic/Detox
HLA-DQB1,Inflammation/Immune/Stress/Toxic/Detox
HLA-DQB2,Inflammation/Immune/Stress/Toxic/Detox
HLA-DRA,Inflammation/Immune/Stress/Toxic/Detox
HLA-DRB1,Inflammation/Immune/Stress/Toxic/Detox
HLA-DRB3,Inflammation/Immune/Stress/Toxic/Detox
HLA-DRB4,Inflammation/Immune/Stress/Toxic/Detox
HLA-DRB5,Inflammation/Immune/Stress/Toxic/Detox
HLA-E,Inflammation/Immune/Stress/Toxic/Detox
HLA-F,Inflammation/Immune/Stress/Toxic/Detox
HLA-G,Inflammation/Immune/Stress/Toxic/Detox
HLA-H,Inflammation/Immune/Stress/Toxic/Detox
HRH1,Inflammation/Immune/Stress/Toxic/Detox
HRH2,Inflammation/Immune/Stress/Toxic/Detox
HRH3,Inflammation/Immune/Stress/Toxic/Detox
HRH4,Inflammation/Immune/Stress/Toxic/Detox
ICAM1,Inflammation/Immune/Stress/Toxic/Detox
ICAM2,Inflammation/Immune/Stress/Toxic/Detox
ICAM3,Inflammation/Immune/Stress/Toxic/Detox
ICAM4,Inflammation/Immune/Stress/Toxic/Detox
ICAM5,Inflammation/Immune/Stress/Toxic/Detox
ICOS,Inflammation/Immune/Stress/Toxic/Detox
ICOSLG,Inflammation/Immune/Stress/Toxic/Detox
IFI16,Inflammation/Immune/Stress/Toxic/Detox
IFI27,Inflammation/Immune/Stress/Toxic/Detox
IFI27L1,Inflammation/Immune/Stress/Toxic/Detox
IFI27L2,Inflammation/Immune/Stress/Toxic/Detox
IFI30,Inflammation/Immune/Stress/Toxic/Detox
IFI35,Inflammation/Immune/Stress/Toxic/Detox
IFI44,Inflammation/Immune/Stress/Toxic/Detox
IFI44L,Inflammation/Immune/Stress/Toxic/Detox
IFI6,Inflammation/Immune/Stress/Toxic/Detox
IFIH1,Inflammation/Immune/Stress/Toxic/Detox
IFIT1,Inflammation/Immune/Stress/Toxic/Detox
IFIT1B,Inflammation/Immune/Stress/Toxic/Detox
IFIT2,Inflammation/Immune/Stress/Toxic/Detox
IFIT3,Inflammation/Immune/Stress/Toxic/Detox
IFIT5,Inflammation/Immune/Stress/Toxic/Detox
IFITM1,Inflammation/Immune/Stress/Toxic/Detox
IFITM2,Inflammation/Immune/Stress/Toxic/Detox
IFITM3,Inflammation/Immune/Stress/Toxic/Detox
IFITM5,Inflammation/Immune/Stress/Toxic/Detox
IFNA1,Inflammation/Immune/Stress/Toxic/Detox
IFNA10,Inflammation/Immune/Stress/Toxic/Detox
IFNA13,Inflammation/Immune/Stress/Toxic/Detox
IFNA14,Inflammation/Immune/Stress/Toxic/Detox
IFNA16,Inflammation/Immune/Stress/Toxic/Detox
IFNA17,Inflammation/Immune/Stress/Toxic/Detox
IFNA2,Inflammation/Immune/Stress/Toxic/Detox
IFNA21,Inflammation/Immune/Stress/Toxic/Detox
IFNA4,Inflammation/Immune/Stress/Toxic/Detox
IFNA5,Inflammation/Immune/Stress/Toxic/Detox
IFNA6,Inflammation/Immune/Stress/Toxic/Detox
IFNA7,Inflammation/Immune/Stress/Toxic/Detox
IFNA8,Inflammation/Immune/Stress/Toxic/Detox
IFNAR1,Inflammation/Immune/Stress/Toxic/Detox
IFNAR2,Inflammation/Immune/Stress/Toxic/Detox
IFNB1,Inflammation/Immune/Stress/Toxic/Detox
IFNE,Inflammation/Immune/Stress/Toxic/Detox
IFNG,Inflammation/Immune/Stress/Toxic/Detox
IFNGR1,Inflammation/Immune/Stress/Toxic/Detox
IFNGR2,Inflammation/Immune/Stress/Toxic/Detox
IFNK,Inflammation/Immune/Stress/Toxic/Detox
IFNL1,Inflammation/Immune/Stress/Toxic/Detox
IFNL2,Inflammation/Immune/Stress/Toxic/Detox
IFNL3,Inflammation/Immune/Stress/Toxic/Detox
IFNL4,Inflammation/Immune/Stress/Toxic/Detox
IFNLR1,Inflammation/Immune/Stress/Toxic/Detox
IFNW1,Inflammation/Immune/Stress/Toxic/Detox
IFRD1,Inflammation/Immune/Stress/Toxic/Detox
IGHA1,Inflammation/Immune/Stress/Toxic/Detox
IGHA2,Inflammation/Immune/Stress/Toxic/Detox
IGHD,Inflammation/Immune/Stress/Toxic/Detox
IGHD1-1,Inflammation/Immune/Stress/Toxic/Detox
IGHE,Inflammation/Immune/Stress/Toxic/Detox
IGHG1,Inflammation/Immune/Stress/Toxic/Detox
IGHG2,Inflammation/Immune/Stress/Toxic/Detox
IGHG3,Inflammation/Immune/Stress/Toxic/Detox
IGHG4,Inflammation/Immune/Stress/Toxic/Detox
IGHJ1,Inflammation/Immune/Stress/Toxic/Detox
IGHM,Inflammation/Immune/Stress/Toxic/Detox
IGHMBP2,Inflammation/Immune/Stress/Toxic/Detox
IGHV1-18,Inflammation/Immune/Stress/Toxic/Detox
IGHV1-24,Inflammation/Immune/Stress/Toxic/Detox
IGHV1-3,Inflammation/Immune/Stress/Toxic/Detox
IGHV1-45,Inflammation/Immune/Stress/Toxic/Detox
IGHV1-58,Inflammation/Immune/Stress/Toxic/Detox
IGHV1-69,Inflammation/Immune/Stress/Toxic/Detox
IGHV1-69-2,Inflammation/Immune/Stress/Toxic/Detox
IGHV1-69D,Inflammation/Immune/Stress/Toxic/Detox
IGHV2-26,Inflammation/Immune/Stress/Toxic/Detox
IGHV2-5,Inflammation/Immune/Stress/Toxic/Detox
IGHV2-70,Inflammation/Immune/Stress/Toxic/Detox
IGHV2-70D,Inflammation/Immune/Stress/Toxic/Detox
IGHV3-11,Inflammation/Immune/Stress/Toxic/Detox
IGHV3-13,Inflammation/Immune/Stress/Toxic/Detox
IGHV3-15,Inflammation/Immune/Stress/Toxic/Detox
IGHV3-16,Inflammation/Immune/Stress/Toxic/Detox
IGHV3-20,Inflammation/Immune/Stress/Toxic/Detox
IGHV3-21,Inflammation/Immune/Stress/Toxic/Detox
IGHV3-23,Inflammation/Immune/Stress/Toxic/Detox
IGHV3-30,Inflammation/Immune/Stress/Toxic/Detox
IGHV3-33,Inflammation/Immune/Stress/Toxic/Detox
IGHV3-35,Inflammation/Immune/Stress/Toxic/Detox
IGHV3-38,Inflammation/Immune/Stress/Toxic/Detox
IGHV3-43,Inflammation/Immune/Stress/Toxic/Detox
IGHV3-48,Inflammation/Immune/Stress/Toxic/Detox
IGHV3-49,Inflammation/Immune/Stress/Toxic/Detox
IGHV3-53,Inflammation/Immune/Stress/Toxic/Detox
IGHV3-64,Inflammation/Immune/Stress/Toxic/Detox
IGHV3-64D,Inflammation/Immune/Stress/Toxic/Detox
IGHV3-66,Inflammation/Immune/Stress/Toxic/Detox
IGHV3-7,Inflammation/Immune/Stress/Toxic/Detox
IGHV3-72,Inflammation/Immune/Stress/Toxic/Detox
IGHV3-73,Inflammation/Immune/Stress/Toxic/Detox
IGHV3-74,Inflammation/Immune/Stress/Toxic/Detox
IGHV4-28,Inflammation/Immune/Stress/Toxic/Detox
IGHV4-31,Inflammation/Immune/Stress/Toxic/Detox
IGHV4-34,Inflammation/Immune/Stress/Toxic/Detox
IGHV4-39,Inflammation/Immune/Stress/Toxic/Detox
IGHV4-4,Inflammation/Immune/Stress/Toxic/Detox
IGHV4-59,Inflammation/Immune/Stress/Toxic/Detox
IGHV4-61,Inflammation/Immune/Stress/Toxic/Detox
IGHV5-10-1,Inflammation/Immune/Stress/Toxic/Detox
IGHV5-51,Inflammation/Immune/Stress/Toxic/Detox
IGHV6-1,Inflammation/Immune/Stress/Toxic/Detox
IGHV7-4-1,Inflammation/Immune/Stress/Toxic/Detox
IGHV7-81,Inflammation/Immune/Stress/Toxic/Detox
IGHV8-51-1,Inflammation/Immune/Stress/Toxic/Detox
IGKC,Inflammation/Immune/Stress/Toxic/Detox
IGKJ1,Inflammation/Immune/Stress/Toxic/Detox
IGKV1-12,Inflammation/Immune/Stress/Toxic/Detox
IGKV1-13,Inflammation/Immune/Stress/Toxic/Detox
IGKV1-16,Inflammation/Immune/Stress/Toxic/Detox
IGKV1-17,Inflammation/Immune/Stress/Toxic/Detox
IGKV1-27,Inflammation/Immune/Stress/Toxic/Detox
IGKV1-37,Inflammation/Immune/Stress/Toxic/Detox
IGKV1-39,Inflammation/Immune/Stress/Toxic/Detox
IGKV1-5,Inflammation/Immune/Stress/Toxic/Detox
IGKV1-6,Inflammation/Immune/Stress/Toxic/Detox
IGKV1-8,Inflammation/Immune/Stress/Toxic/Detox
IGKV1-9,Inflammation/Immune/Stress/Toxic/Detox
IGKV1D-12,Inflammation/Immune/Stress/Toxic/Detox
IGKV1D-13,Inflammation/Immune/Stress/Toxic/Detox
IGKV1D-17,Inflammation/Immune/Stress/Toxic/Detox
IGKV1D-33,Inflammation/Immune/Stress/Toxic/Detox
IGKV1D-37,Inflammation/Immune/Stress/Toxic/Detox
IGKV1D-39,Inflammation/Immune/Stress/Toxic/Detox
IGKV1D-42,Inflammation/Immune/Stress/Toxic/Detox
IGKV1D-43,Inflammation/Immune/Stress/Toxic/Detox
IGKV1D-8,Inflammation/Immune/Stress/Toxic/Detox
IGKV2-24,Inflammation/Immune/Stress/Toxic/Detox
IGKV2-28,Inflammation/Immune/Stress/Toxic/Detox
IGKV2-29,Inflammation/Immune/Stress/Toxic/Detox
IGKV2-30,Inflammation/Immune/Stress/Toxic/Detox
IGKV2-40,Inflammation/Immune/Stress/Toxic/Detox
IGKV2D-24,Inflammation/Immune/Stress/Toxic/Detox
IGKV2D-26,Inflammation/Immune/Stress/Toxic/Detox
IGKV2D-28,Inflammation/Immune/Stress/Toxic/Detox
IGKV2D-29,Inflammation/Immune/Stress/Toxic/Detox
IGKV2D-30,Inflammation/Immune/Stress/Toxic/Detox
IGKV3-15,Inflammation/Immune/Stress/Toxic/Detox
IGKV3-20,Inflammation/Immune/Stress/Toxic/Detox
IGKV3-7,Inflammation/Immune/Stress/Toxic/Detox
IGKV3D-11,Inflammation/Immune/Stress/Toxic/Detox
IGKV3D-15,Inflammation/Immune/Stress/Toxic/Detox
IGKV3D-20,Inflammation/Immune/Stress/Toxic/Detox
IGKV3D-7,Inflammation/Immune/Stress/Toxic/Detox
IGKV4-1,Inflammation/Immune/Stress/Toxic/Detox
IGKV5-2,Inflammation/Immune/Stress/Toxic/Detox
IGKV6-21,Inflammation/Immune/Stress/Toxic/Detox
IGKV6D-21,Inflammation/Immune/Stress/Toxic/Detox
IGKV6D-41,Inflammation/Immune/Stress/Toxic/Detox
IGLC1,Inflammation/Immune/Stress/Toxic/Detox
IGLC2,Inflammation/Immune/Stress/Toxic/Detox
IGLC3,Inflammation/Immune/Stress/Toxic/Detox
IGLC6,Inflammation/Immune/Stress/Toxic/Detox
IGLC7,Inflammation/Immune/Stress/Toxic/Detox
IGLJ1,Inflammation/Immune/Stress/Toxic/Detox
IGLL1,Inflammation/Immune/Stress/Toxic/Detox
IGLL5,Inflammation/Immune/Stress/Toxic/Detox
IGLV10-54,Inflammation/Immune/Stress/Toxic/Detox
IGLV11-55,Inflammation/Immune/Stress/Toxic/Detox
IGLV1-36,Inflammation/Immune/Stress/Toxic/Detox
IGLV1-40,Inflammation/Immune/Stress/Toxic/Detox
IGLV1-44,Inflammation/Immune/Stress/Toxic/Detox
IGLV1-47,Inflammation/Immune/Stress/Toxic/Detox
IGLV1-50,Inflammation/Immune/Stress/Toxic/Detox
IGLV1-51,Inflammation/Immune/Stress/Toxic/Detox
IGLV2-11,Inflammation/Immune/Stress/Toxic/Detox
IGLV2-14,Inflammation/Immune/Stress/Toxic/Detox
IGLV2-18,Inflammation/Immune/Stress/Toxic/Detox
IGLV2-23,Inflammation/Immune/Stress/Toxic/Detox
IGLV2-33,Inflammation/Immune/Stress/Toxic/Detox
IGLV2-8,Inflammation/Immune/Stress/Toxic/Detox
IGLV3-1,Inflammation/Immune/Stress/Toxic/Detox
IGLV3-10,Inflammation/Immune/Stress/Toxic/Detox
IGLV3-12,Inflammation/Immune/Stress/Toxic/Detox
IGLV3-16,Inflammation/Immune/Stress/Toxic/Detox
IGLV3-19,Inflammation/Immune/Stress/Toxic/Detox
IGLV3-21,Inflammation/Immune/Stress/Toxic/Detox
IGLV3-22,Inflammation/Immune/Stress/Toxic/Detox
